index,DPD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,Pred,WVHT
2021-03-05 02:32:00,10.0,13.8,0.6,10.5,0.9,9.9,W,W,AVERAGE,7.3,5.17,1.1
2021-03-05 03:32:00,11.0,13.8,0.5,11.1,0.9,9.1,WSW,W,AVERAGE,6.6,5.612857142857142,1.0
2021-03-05 04:32:00,13.0,13.8,0.6,12.5,0.9,9.9,WSW,W,AVERAGE,6.5,4.612857142857142,1.0
2021-03-05 05:32:00,13.0,13.7,0.6,12.5,0.9,8.3,WSW,W,AVERAGE,6.3,3.612857142857143,1.1
2021-03-05 06:32:00,11.0,13.7,0.6,10.5,0.8,9.9,W,W,AVERAGE,6.0,2.612857142857143,1.0
2021-03-05 07:32:00,14.0,13.7,0.6,14.3,0.8,9.9,SSW,W,AVERAGE,6.8,1.6128571428571428,1.0
2021-03-05 10:03:00,13.0,13.3,0.7,12.5,0.8,9.9,WSW,WSW,AVERAGE,7.0,0.11,1.1
2021-03-05 11:03:00,11.0,13.3,0.6,11.1,0.8,9.9,W,W,AVERAGE,7.4,0.4716666666666667,1.0
2021-03-15 01:21:00,11.0,13.3,0.6,11.1,0.8,9.9,W,W,AVERAGE,7.4,3.5900000000000003,1.0
2021-03-05 12:03:00,11.0,13.3,0.6,10.5,0.8,8.3,W,W,AVERAGE,7.1,0.5283333333333333,1.0
2021-03-05 13:03:00,11.0,13.5,0.6,11.1,0.8,9.9,WSW,W,AVERAGE,6.6,1.5283333333333333,0.9
2021-03-05 14:03:00,9.0,13.5,0.6,10.5,0.9,9.1,W,W,AVERAGE,6.3,2.5283333333333333,1.0
2021-03-05 16:55:00,11.0,13.5,0.6,11.1,0.8,7.1,W,WSW,AVERAGE,5.6,3.04,1.0
2021-03-05 17:55:00,18.0,13.5,0.6,18.2,0.9,9.9,SW,W,AVERAGE,5.6,1.333333333333333,1.0
2021-03-05 20:47:00,18.0,13.6,0.6,18.2,0.9,9.9,SSW,W,AVERAGE,5.4,2.51,1.0
2021-03-05 21:47:00,18.0,13.6,0.6,18.2,0.8,9.9,SW,WSW,AVERAGE,5.5,1.6133333333333333,1.0
2021-03-15 02:21:00,18.0,13.6,0.6,18.2,0.8,9.9,SW,WSW,AVERAGE,5.5,2.5900000000000003,1.0
2021-03-05 22:47:00,17.0,13.7,0.7,16.7,0.8,7.7,SW,WSW,AVERAGE,5.7,2.6133333333333333,1.1
2021-03-25 02:19:00,17.0,13.7,0.7,16.7,0.8,7.7,SW,WSW,AVERAGE,5.7,2.2,1.1
2021-03-05 23:47:00,17.0,13.8,0.6,16.7,0.9,9.9,WSW,W,AVERAGE,5.3,3.6133333333333333,1.1
2021-03-06 00:47:00,18.0,13.8,0.7,18.2,1.0,4.3,SW,WNW,AVERAGE,5.2,4.613333333333333,1.2
2021-03-06 04:35:00,17.0,13.6,0.7,16.7,1.2,5.3,SW,W,AVERAGE,5.3,5.967142857142857,1.4
2021-03-06 05:35:00,17.0,13.7,0.8,16.7,1.1,4.5,WSW,WNW,AVERAGE,5.5,4.967142857142857,1.4
2021-03-06 06:35:00,17.0,13.6,0.7,16.7,1.3,5.0,SW,W,AVERAGE,5.0,3.967142857142857,1.5
2021-03-06 07:35:00,17.0,13.6,1.0,16.7,1.5,5.3,SW,W,AVERAGE,5.6,2.967142857142857,1.8
